productId,name,productFamily,active,revenue,currentState,whyV1CannotRepresent,actualFunctionalProductTruth,candidateSemanticConcept,candidateAxis,sourcePolicy,relationMode,proposedResolution,confidence,note
258,Extensión de Tríceps MO Series | Obelix,UNKNOWN,true,4299957,ONTOLOGY_GAP,Product is a credible dedicated machine for deferred capability TRICEPS_EXTENSION; the current V1 registry intentionally cannot represent it.,Dedicated triceps-extension machine.,TRICEPS_EXTENSION,EXERCISE_CAPABILITY,NAME+STRUCTURED_FEATURE,DIRECT,SEMANTIC_COMPLETE,HIGH,Promote only as a narrow explicit exercise capability.
491,Prensa Horizontal Sentado V8 Series | Obelix,PLATE_LOADED_MACHINE,true,8636960,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Dedicated leg-press machine with explicit press geometry.,LEG_PRESS,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,Active explicit products materially support promotion; this is not generic lower-body equipment.
1121,Atril de Sentadillas 1.0 (Par) | Forza,RACK_CAGE,true,12713649.5,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Supports and positions a free barbell for loaded training; it does not assert a squat exercise.,BARBELL_SUPPORT,TRAINING_FUNCTION,TRUSTED_CATEGORY+NAME,DIRECT,SEMANTIC_COMPLETE,HIGH,Do not derive generic SQUAT; support function is the Product Truth.
1126,Rampa Caminata de Manos | HWM®,BODYWEIGHT_GYMNASTICS,true,3829296,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Provides a bodyweight training support/obstacle surface without asserting one exercise capability.,BODYWEIGHT_SUPPORT,TRAINING_FUNCTION,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,Do not infer PULL_UP or DIP without an explicit module.
1229,Hack Squat Solid Rock | BODYTONE,PLATE_LOADED_MACHINE,true,2029993,ONTOLOGY_GAP,Product is a credible dedicated machine for deferred capability SQUAT; the current V1 registry intentionally cannot represent it.,Dedicated squat-machine product with explicit hack/V-squat/squat-machine wording.,HACK_SQUAT,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY+STRUCTURED_FEATURE,DIRECT,SEMANTIC_COMPLETE,MEDIUM,Requires a mechanism/geometry gate for generic “Squat Machine”; never reintroduce generic SQUAT.
1266,Aperturas Pec Fly / Rear Delt MO 2.0 Obelix®,SELECTORIZED_MACHINE,true,17155894,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Machine explicitly combining pec-fly/chest-fly and rear-delt-fly functions.,PEC_DECK|REAR_DELT_FLY,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,Requires exhaustive multi-assignment; REAR_DELT_FLY is the narrow new capability.
1272,Hack Squat Lineal MO 2.0 | Obelix®,PLATE_LOADED_MACHINE,true,21103837,ONTOLOGY_GAP,Product is a credible dedicated machine for deferred capability SQUAT; the current V1 registry intentionally cannot represent it.,Dedicated squat-machine product with explicit hack/V-squat/squat-machine wording.,HACK_SQUAT,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY+STRUCTURED_FEATURE,DIRECT,SEMANTIC_COMPLETE,MEDIUM,Requires a mechanism/geometry gate for generic “Squat Machine”; never reintroduce generic SQUAT.
1273,Prensa Inclinada 45° Lineal MO 2.0 | Obelix®,PLATE_LOADED_MACHINE,true,52789198,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Dedicated leg-press machine with explicit press geometry.,LEG_PRESS,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,Active explicit products materially support promotion; this is not generic lower-body equipment.
1274,Jaula Smith Vertical MO 2.0 | Obelix®,PLATE_LOADED_MACHINE,true,12055946,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Provides guided or fixed-path barbell support through a Smith/Multipower structure.,GUIDED_BARBELL_SUPPORT,TRAINING_FUNCTION,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,A guided bar path is distinct from a generic rack and does not imply generic SQUAT.
1275,Prensa Horizontal Sentado MO 2.0 Obelix®,PLATE_LOADED_MACHINE,true,9407954,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Dedicated leg-press machine with explicit press geometry.,LEG_PRESS,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,Active explicit products materially support promotion; this is not generic lower-body equipment.
1284,Elevación de Talones de Pie MO 2.0 | Obelix®,SELECTORIZED_MACHINE,true,5694955,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Dedicated standing/seated calf-raise machine.,CALF_RAISE,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,New narrow exercise capability; do not infer from every lower-body machine.
1450,Máquina Home Gym PRO FZ402B 68kg | Forza,CABLE_MACHINE,true,9207185,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Provides a general cable-resistance station for multiple exercises.,CABLE_RESISTANCE,TRAINING_FUNCTION,PRODUCT_FAMILY+TRUSTED_CATEGORY+NAME,FAMILY_DERIVED,SEMANTIC_COMPLETE,HIGH,"This is not LAT_PULLDOWN, ROW or TRICEPS_EXTENSION."
1451,Máquina Home Gym ULTRA FZ410 68kg | Forza,CABLE_MACHINE,true,14049315,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Provides a general cable-resistance station for multiple exercises.,CABLE_RESISTANCE,TRAINING_FUNCTION,PRODUCT_FAMILY+TRUSTED_CATEGORY+NAME,FAMILY_DERIVED,SEMANTIC_COMPLETE,HIGH,"This is not LAT_PULLDOWN, ROW or TRICEPS_EXTENSION."
1455,Wall Crossover Black ZR Series | PROmachine,CABLE_MACHINE,true,41624731,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Provides multi-directional cable resistance through crossover/dual cable geometry.,CABLE_RESISTANCE|MULTI_DIRECTIONAL_RESISTANCE,TRAINING_FUNCTION,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,The second function requires explicit crossover/dual-cable evidence; it is not derived from every cable machine.
1507,Dual Bíceps / Tríceps MO 2.0 | Obelix®,SELECTORIZED_MACHINE,true,7979892,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Dual biceps/triceps machine with two explicit exercise functions.,BICEPS_CURL|TRICEPS_EXTENSION,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,Both exercise capabilities are required; one assignment would be partial.
1511,Elevación de Talones Sentado MO 2.0 | Obelix®,PLATE_LOADED_MACHINE,true,2699955,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Dedicated standing/seated calf-raise machine.,CALF_RAISE,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,New narrow exercise capability; do not infer from every lower-body machine.
1535,Atril de Sentadillas Delta | HWM®,RACK_CAGE,true,5296607.5,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Supports and positions a free barbell for loaded training; it does not assert a squat exercise.,BARBELL_SUPPORT,TRAINING_FUNCTION,TRUSTED_CATEGORY+NAME,DIRECT,SEMANTIC_COMPLETE,HIGH,Do not derive generic SQUAT; support function is the Product Truth.
1539,Atril de Sentadillas Alpha | HWM®,RACK_CAGE,true,7672518.5,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Supports and positions a free barbell for loaded training; it does not assert a squat exercise.,BARBELL_SUPPORT,TRAINING_FUNCTION,TRUSTED_CATEGORY+NAME,DIRECT,SEMANTIC_COMPLETE,HIGH,Do not derive generic SQUAT; support function is the Product Truth.
1544,Atril de Sentadillas Magnum | HWM®,RACK_CAGE,true,4649868,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Supports and positions a free barbell for loaded training; it does not assert a squat exercise.,BARBELL_SUPPORT,TRAINING_FUNCTION,TRUSTED_CATEGORY+NAME,DIRECT,SEMANTIC_COMPLETE,HIGH,Do not derive generic SQUAT; support function is the Product Truth.
1654,V-Squat Beast | Obelix,PLATE_LOADED_MACHINE,true,4759972,ONTOLOGY_GAP,Product is a credible dedicated machine for deferred capability SQUAT; the current V1 registry intentionally cannot represent it.,Dedicated squat-machine product with explicit hack/V-squat/squat-machine wording.,HACK_SQUAT,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY+STRUCTURED_FEATURE,DIRECT,SEMANTIC_COMPLETE,MEDIUM,Requires a mechanism/geometry gate for generic “Squat Machine”; never reintroduce generic SQUAT.
1655,Prensa Pivote Beast | Obelix,PLATE_LOADED_MACHINE,true,0,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Pivoting leg-press machine; included in the LEG_PRESS family only with explicit geometry validation.,LEG_PRESS,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,The pivot mechanism must be confirmed in structured evidence during V2 migration.
1658,Prensa Inclinada 45° Lineal Beast | Obelix,PLATE_LOADED_MACHINE,true,5925249,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Dedicated leg-press machine with explicit press geometry.,LEG_PRESS,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,Active explicit products materially support promotion; this is not generic lower-body equipment.
1660,Dual Prensa Hack Beast | Obelix,PLATE_LOADED_MACHINE,true,11385946,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Dual dedicated hack/press machine supporting two explicit lower-body exercise functions.,HACK_SQUAT|LEG_PRESS,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY,DIRECT,SEMANTIC_COMPLETE,HIGH,"Multifunction completeness requires both assignments, not one dominant label."
1661,Prensa Hack 35º Lineal Beast | Obelix,PLATE_LOADED_MACHINE,true,0,ONTOLOGY_GAP,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set.",Dedicated squat-machine product with explicit hack/V-squat/squat-machine wording.,HACK_SQUAT,EXERCISE_CAPABILITY,NAME+PRODUCT_FAMILY+STRUCTURED_FEATURE,DIRECT,SEMANTIC_COMPLETE,MEDIUM,Requires a mechanism/geometry gate for generic “Squat Machine”; never reintroduce generic SQUAT.
